@code{.c}
================================================
  NLOC    CCN   token  PARAM  length  location
       7      1     30      1       8 QTimeEvt_currCtr@293-300@..\src\qf\qf_time.c
      69      7    380      2     111 QTimeEvt_tick_@304-414@..\src\qf\qf_time.c
      17      3     84      1      18 QTimeEvt_noActive@418-435@..\src\qf\qf_time.c
      21      2    112      1      30 QK_schedLock@72-101@..\src\qk\qk.c
      20      4    118      1      29 QK_schedUnlock@105-133@..\src\qk\qk.c
      12      3    105      1      27 QF_init@139-165@..\src\qk\qk.c
       3      1     10      1       4 QF_stop@169-172@..\src\qk\qk.c
      18      6     76      1      33 QF_run@176-208@..\src\qk\qk.c
      27      3    173      7      34 QActive_start_@216-249@..\src\qk\qk.c
      20      4     92      1      25 QK_sched_@259-283@..\src\qk\qk.c
      68     17    414      1     119 QK_activate_@287-405@..\src\qk\qk.c
       8      3     56      1      17 QF_init@74-90@..\src\qv\qv.c
       3      1     10      1       4 QF_stop@94-97@..\src\qv\qv.c
      49     15    281      1     106 QF_run@101-206@..\src\qv\qv.c
      21      1    142      7      26 QActive_start_@214-239@..\src\qv\qv.c
      23      3    131      1      33 QXK_schedLock@72-104@..\src\qxk\qxk.c
      19      3    115      1      28 QXK_schedUnlock@108-135@..\src\qxk\qxk.c
      13      3    114      1      28 QF_init@141-168@..\src\qxk\qxk.c
       3      1     10      1       4 QF_stop@172-175@..\src\qxk\qxk.c
      20      6     98      1      35 QF_run@179-213@..\src\qxk\qxk.c
      31      5    195      7      38 QActive_start_@221-258@..\src\qxk\qxk.c
      44      8    234      1      54 QXK_sched_@268-321@..\src\qxk\qxk.c
      63     16    407      1     104 QXK_activate_@325-428@..\src\qxk\qxk.c
      12      2     72      1      16 QXK_current@432-447@..\src\qxk\qxk.c
      19      5    105      1      26 QXK_contextSw@452-477@..\src\qxk\qxk.c
      14      2    113      1      22 QXK_threadExit_@485-506@..\src\qxk\qxk.c
      13      2     73      2      15 QXMutex_init@74-88@..\src\qxk\qxk_mutex.c
      81     11    719      2     141 QXMutex_lock@92-232@..\src\qxk\qxk_mutex.c
      58      9    492      1      97 QXMutex_tryLock@236-332@..\src\qxk\qxk_mutex.c
      76     12    640      1     128 QXMutex_unlock@336-463@..\src\qxk\qxk_mutex.c
      12      1     60      3      13 QXSemaphore_init@74-86@..\src\qxk\qxk_sema.c
      58      7    398      2      86 QXSemaphore_wait@90-175@..\src\qxk\qxk_sema.c
      28      3    139      1      38 QXSemaphore_tryWait@179-216@..\src\qxk\qxk_sema.c
      43      7    284      1      67 QXSemaphore_signal@220-286@..\src\qxk\qxk_sema.c
      21      2    113      3      26 QXThread_ctor@75-100@..\src\qxk\qxk_xthr.c
      21      4    195      1      38 QXThread_delay@104-141@..\src\qxk\qxk_xthr.c
      14      2     68      1      16 QXThread_delayCancel@145-160@..\src\qxk\qxk_xthr.c
      59      7    502      1      88 QXThread_queueGet@164-251@..\src\qxk\qxk_xthr.c
      10      1     39      3      11 QXThread_init_@255-265@..\src\qxk\qxk_xthr.c
      10      1     39      3      11 QXThread_dispatch_@269-279@..\src\qxk\qxk_xthr.c
      34      7    233      7      57 QXThread_start_@283-339@..\src\qxk\qxk_xthr.c
      99     14    529      4     138 QXThread_post_@343-480@..\src\qxk\qxk_xthr.c
       8      1     30      2       9 QXThread_postLIFO_@484-492@..\src\qxk\qxk_xthr.c
       6      1     58      1      10 QXThread_block_@496-505@..\src\qxk\qxk_xthr.c
       9      3     65      1      12 QXThread_unblock_@509-520@..\src\qxk\qxk_xthr.c
      20      3    157      3      39 QXThread_teArm_@524-562@..\src\qxk\qxk_xthr.c
      11      2     46      1      13 QXThread_teDisarm_@566-578@..\src\qxk\qxk_xthr.c
33 file analyzed.
==============================================================
NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
      1       0.0     0.0        0.0         0     ..\include\qassert.h
    133       3.0     1.0       16.0         1     ..\include\qep.h
     33       3.0     1.0       17.0         3     ..\include\qequeue.h
    237       6.8     2.6       65.4        10     ..\include\qf.h
     16       3.0     1.0       20.0         2     ..\include\qf_pkg.h
     16       0.0     0.0        0.0         0     ..\include\qk.h
     25       0.0     0.0        0.0         0     ..\include\qmpool.h
      8       0.0     0.0        0.0         0     ..\include\qpc.h
    361      14.0     3.0       67.0         1     ..\include\qs.h
      6       0.0     0.0        0.0         0     ..\include\qsafety.h
      2       0.0     0.0        0.0         0     ..\include\qstamp.h
      0       0.0     0.0        0.0         0     ..\include\qs_dummy.h
     19       0.0     0.0        0.0         0     ..\include\qs_pkg.h
      7       0.0     0.0        0.0         0     ..\include\qv.h
     93       0.0     0.0        0.0         0     ..\include\qxk.h
    365      31.9     5.3      187.4        11     ..\src\qf\qep_hsm.c
    350      33.6     5.7      199.6        10     ..\src\qf\qep_msm.c
      2       0.0     0.0        0.0         0     ..\src\qf\qf_act.c
    257      27.8     3.8      154.4         9     ..\src\qf\qf_actq.c
     70      21.0     2.3      109.3         3     ..\src\qf\qf_defer.c
    150      20.1     3.3      116.1         7     ..\src\qf\qf_dyn.c
    108      33.7     4.3      202.7         3     ..\src\qf\qf_mem.c
    118      21.8     4.4      126.8         5     ..\src\qf\qf_ps.c
    106      16.0     4.0      100.0         6     ..\src\qf\qf_qact.c
    152      36.2     4.8      200.8         4     ..\src\qf\qf_qeq.c
     18      16.0     2.0       79.0         1     ..\src\qf\qf_qmact.c
    224      27.0     4.1      157.9         8     ..\src\qf\qf_time.c
    197      23.6     5.0      137.5         8     ..\src\qk\qk.c
     88      20.2     5.0      122.2         4     ..\src\qv\qv.c
    269      23.7     4.9      144.9        11     ..\src\qxk\qxk.c
